date,bdi,Mode00,Mode01,Mode02,Mode03,Mode04,Mode05,Mode06,Mode07,Mode08,Mode09,Mode10
2018/9/21,1413.0,-1.0149075,18.274471,9.713106,-25.85869,-159.13634,-20.696495,151.66266,137.98148,387.87933,-384.1283,1269.041
2018/9/22,1413.0,-8.384219,9.48792,12.382363,-16.445757,-154.80449,-54.017742,163.90662,146.92293,409.53983,-430.2444,1293.2478
2018/9/23,1413.0,-1.165895,4.323957,30.990559,5.023205,-146.39656,-52.907585,154.4064,120.74765,422.32303,-447.95532,1315.9517
2018/9/24,1434.0,5.9375367,6.2397513,21.490059,9.288276,-142.96053,-66.59014,153.45343,149.47113,383.13382,-399.50647,1283.8896
2018/9/25,1450.0,-5.0060315,-6.236861,22.624155,24.13245,-131.08604,-63.91869,146.27383,151.54291,365.97388,-356.28857,1255.6301
2018/9/26,1503.0,-1.2413691,2.8507297,33.161716,19.925602,-118.65625,-67.95175,151.76666,143.15411,377.972,-358.63287,1249.6289
2018/9/27,1524.0,-4.0272646,12.552962,30.136839,38.293045,-94.613,-92.465645,161.15039,145.853,362.41937,-364.49713,1266.7996
2018/9/28,1540.0,-4.248992,26.062143,38.92964,55.6082,-97.61046,-98.66606,153.20547,120.84607,417.80515,-419.51038,1306.0233
2018/9/29,1540.0,-2.3171108,0.41467267,42.671833,62.22029,-69.65442,-87.086235,153.56256,124.99387,413.87338,-423.05554,1296.7736
2018/9/30,1540.0,-3.2578578,1.3982743,30.501348,74.5954,-63.56556,-82.6109,146.2714,157.2725,395.1384,-398.39264,1266.3335
2018/10/1,1555.0,4.912647,6.160055,20.989109,78.4524,-46.18715,-99.50774,147.38919,143.59744,364.76205,-362.90295,1277.4103
2018/10/2,1570.0,0.07241638,-6.4208865,23.545527,81.67581,-35.25174,-96.40913,154.70978,147.88213,373.04593,-393.50446,1289.8916
2018/10/3,1574.0,-1.0522925,-7.3309617,13.442409,85.04375,-21.489958,-103.6626,145.85425,140.01686,396.98538,-410.64783,1299.7478
2018/10/4,1554.0,0.2596348,6.254998,-0.60979015,83.41046,3.4927065,-105.359726,143.16815,126.67873,391.2993,-359.1991,1271.4752
2018/10/5,1536.0,-3.597228,-3.6113615,-3.864081,78.957985,-2.0193174,-102.88161,145.07007,139.51784,375.4386,-333.42914,1247.1687
2018/10/6,1536.0,-2.1475916,-5.3754997,-15.226907,58.19869,25.57412,-101.45541,130.81125,146.9076,414.36118,-403.89862,1284.2705
2018/10/7,1536.0,2.1974924,-10.388933,-10.965603,50.522335,36.99811,-110.66408,147.25659,140.28772,392.95023,-372.34875,1271.8271
2018/10/8,1530.0,6.2166395,2.325011,-16.304012,39.51664,48.081,-104.35939,138.77176,130.86435,437.02255,-425.75977,1295.3463
2018/10/9,1503.0,-5.4993587,0.59413844,-15.12876,36.154716,37.884064,-103.37041,138.13702,138.13644,422.68546,-419.4464,1297.2375
2018/10/10,1493.0,2.5541153,-2.7797208,-21.535927,6.7004347,50.1944,-112.92539,129.68295,144.96863,390.64752,-359.44794,1267.9965
2018/10/11,1515.0,-2.001224,-10.236326,-27.390942,2.971187,56.233116,-105.00108,124.92727,147.37955,361.61215,-319.7835,1250.6659
2018/10/12,1579.0,0.27644604,-0.35369384,-27.741747,-17.926453,57.157063,-105.48081,133.87344,127.40716,408.3069,-384.04504,1289.6722
2018/10/13,1579.0,-3.7874258,17.261415,2.3873358,-8.439139,57.10672,-105.15743,114.79723,152.4157,400.802,-390.016,1290.4441
2018/10/14,1579.0,-1.1667517,19.625677,18.252779,-16.667528,71.43623,-103.24007,118.1677,136.2612,404.283,-365.61273,1280.0605
2018/10/15,1584.0,-4.1446514,-1.4123046,28.944553,-3.7309196,59.323765,-98.097565,119.09768,130.88136,443.4801,-433.81573,1314.427
2018/10/16,1578.0,0.6256249,3.9324093,29.965963,-2.0905697,68.065544,-90.02636,110.24688,138.68341,419.03036,-398.15192,1297.7091
2018/10/17,1554.0,0.3359269,-0.022316758,22.787573,-0.729032,72.73736,-93.629395,109.04586,141.00691,439.3503,-438.79065,1323.5807
2018/10/18,1565.0,1.3386925,-8.608527,9.38913,9.998496,58.558052,-80.576,101.69178,141.51343,387.41,-357.26392,1284.8834
2018/10/19,1576.0,-0.9982705,-2.5797563,13.427258,4.632745,79.11689,-85.92885,94.392784,155.70477,398.73798,-358.12585,1273.0161
2018/10/20,1576.0,-2.6291502,-5.998015,0.05617708,0.34995294,73.36699,-81.73324,100.19961,146.85,398.90234,-364.88586,1284.0016
2018/10/21,1576.0,2.8286307,8.532554,-10.824204,9.225372,73.169136,-75.67936,98.47372,152.84204,410.9414,-376.01013,1275.1417
2018/10/22,1579.0,4.679971,-2.4440517,4.800221,13.134544,70.91912,-68.91792,99.60198,131.43745,404.8843,-369.8048,1294.4062
