Actual,Predict,Actual0,Predict0,Actual1,Predict1,Actual2,Predict2,Actual3,Predict3,Actual4,Predict4,Actual5,Predict5,Actual6,Predict6,Actual7,Predict7,Actual8,Predict8,Actual9,Predict9,Actual10,Predict10
1413.0,1352.2397,29.67186190790803,-3.3004978,14.59075273135498,16.527119,13.865326790518377,7.499531,-18.413368445607897,-32.89666,-155.45938026412026,-162.2948,-54.51481522692497,-22.085619,164.69004191513378,151.12714,147.33773749035404,138.38705,411.56787330706715,365.7143,-433.5263950215667,-370.93353,1298.0086714570834,1264.4957
1413.0,1347.3341,-10.506141056267317,-12.121601,3.6802800167557317,10.479972,31.899883724623134,14.253846,3.4600892075713956,-22.525963,-146.9702482925098,-157.797,-53.39419728752688,-55.446255,155.1338103119026,163.72171,121.08371670684625,147.67363,424.51394330361495,384.52542,-453.29164100179145,-415.1421,1321.9966563133944,1289.7124
1413.0,1380.5577,-33.37360625038109,-3.5586212,12.64464989607597,5.8029757,24.37574423850996,28.080114,7.7912651298679245,2.5431006,-143.8494555135421,-149.25357,-67.20329533224641,-54.355877,154.17590944764098,154.02423,149.87847123148802,120.47947,385.2490239367058,395.9405,-399.0286433354306,-431.9281,1287.8272995766613,1312.7836
1434.0,1392.4895,36.74692427742002,6.9813776,-6.791137063090553,9.633073,26.188260692035694,24.456108,22.95328877013152,6.099246,-131.73880119321177,-145.6761,-64.5264037247385,-68.08893,146.94789552266323,153.0169,151.94174284506695,150.29764,368.14687422221397,361.6261,-350.76114499636805,-385.92914,1257.0912058661704,1280.0732
1450.0,1391.9773,9.712563729486808,-3.6756403,8.665448271558656,-4.8706994,36.56097249729543,26.474321,19.74662333790517,23.271526,-119.45222737902438,-133.83253,-68.60828851563998,-65.310234,152.4801640702068,145.61987,143.57362308299747,152.41647,380.13976397882715,345.6783,-353.32165798567803,-344.5078,1250.574675302365,1250.7137
1503.0,1415.8594,26.572285850250008,0.5735496,20.177669656408554,1.254821,33.96272087037772,34.29769,37.90967911741592,20.643167,-95.54348439314015,-121.11682,-93.33159245050634,-69.33978,161.92214289479733,151.33041,146.26942275495168,143.76123,364.5839243902463,357.1455,-359.7463133926961,-346.98566,1269.2587426251525,1244.2952
1524.0,1453.27,26.849472478565794,-2.6167054,42.03982782419558,13.526562,40.92265356433908,33.264896,55.23286632815004,40.091522,-98.62464518243286,-96.516205,-99.59935116436439,-94.21461,153.92804931239263,160.93286,121.18228132530945,146.56737,419.9585422002592,342.3861,-421.50425042839663,-352.19006,1311.6324423143158,1262.0383
1540.0,1481.4642,7.075503020565804,-1.8408842,3.70882883554594,26.94013,46.30141625830008,38.460617,61.229352734071504,54.583645,-71.07147355216675,-99.52489,-87.92640575692693,-100.42968,154.28797888078316,152.7868,125.34704279310814,120.519295,415.9665235639339,391.97958,-425.4779554452756,-404.66052,1301.8353260751355,1302.6501
1540.0,1493.9531,10.931089426880924,-3.1183147,1.9475589260262363,3.0159392,33.33579158900045,42.233475,74.71036893718284,59.650967,-64.92236940771066,-71.17161,-83.43157715933151,-88.68875,146.94871125597746,153.30585,157.6695337475547,124.87405,397.14527701540305,388.37552,-397.7764374678061,-408.02112,1268.7454616518207,1293.4971
1540.0,1507.4453,-20.625817466202584,-3.8028977,6.697297323308628,3.1550121,24.84391142652376,31.916159,79.2831469348475,72.323814,-47.75013242499341,-64.983215,-100.48873173632902,-84.07031,148.07508609544587,145.65079,144.01599629448063,158.32063,366.9334897034372,372.04745,-357.9926051018989,-384.7671,1280.7969741323918,1261.655
1555.0,1527.1797,2.343213687739695,6.24836,-8.005461242510808,8.273892,24.849647618398475,26.326933,83.36715708430494,77.129486,-36.89301293858859,-47.64863,-97.38412632274456,-101.11709,155.44437135616698,146.78546,148.29296226051986,144.20995,375.2146469209285,344.53708,-392.27782504850376,-350.6562,1294.3659253740545,1273.0903
